card_id,pan,pan_masked,cardholder_name,expiry_date,cvv,track2,card_network,issuing_bin,created_at
CARD000001,371449543303655,371449*****3655,Sarah Lopez,02/29,8685,371449543303655=290220101429401,AMEX,371449,2024-12-04
CARD000002,378282556981692,378282*****1692,Robert Singh,05/28,6088,378282556981692=280520135615951,AMEX,378282,2024-07-30
CARD000003,5105108465648230,510510******8230,Priya Nakamura,11/30,299,5105108465648230=301120146804436,MASTERCARD,510510,2024-05-24
CARD000004,3530119577738728,353011******8728,Lucas Nakamura,05/27,951,3530119577738728=270520134332003,JCB,353011,2025-04-07
CARD000005,3530111769367630,353011******7630,James Andersson,11/28,163,3530111769367630=281120128708317,JCB,353011,2026-03-23
CARD000006,371449889579868,371449*****9868,Noah Anderson,03/30,4348,371449889579868=300320173471434,AMEX,371449,2025-08-28
CARD000007,2223008122362312,222300******2312,Amara Moore,07/30,760,2223008122362312=300720136690967,MASTERCARD,222300,2026-07-31
CARD000008,2223004668893737,222300******3737,Emma Smith,07/29,656,2223004668893737=290720127298069,MASTERCARD,222300,2025-01-06
CARD000009,30569301627202,305693****7202,Chidi Miller,07/29,755,30569301627202=290720164641708,DINERS,305693,2026-06-14
CARD000010,2223003100330928,222300******0928,Noah Nakamura,03/28,193,2223003100330928=280320174529912,MASTERCARD,222300,2025-09-22
CARD000011,4242429049663199,424242******3199,Karen Muller,02/28,919,4242429049663199=280220105865185,VISA,424242,2026-07-25
CARD000012,378282716572621,378282*****2621,Ethan Dubois,10/29,7769,378282716572621=291020145314737,AMEX,378282,2024-12-31
CARD000013,3530116507527353,353011******7353,Sarah Andersson,06/29,948,3530116507527353=290620108313678,JCB,353011,2024-06-21
CARD000014,5555557770143631,555555******3631,Camila Lopez,11/29,788,5555557770143631=291120156855744,MASTERCARD,555555,2025-11-22
CARD000015,5555551351823372,555555******3372,Camila Dubois,12/29,894,5555551351823372=291220113435240,MASTERCARD,555555,2024-08-11
CARD000016,6011112400842719,601111******2719,Charles Thomas,10/27,775,6011112400842719=271020120471167,DISCOVER,601111,2026-05-23
CARD000017,3530110229413182,353011******3182,Hiroshi Rossi,10/30,938,3530110229413182=301020167749649,JCB,353011,2024-11-09
CARD000018,4000009133412323,400000******2323,James Wilson,03/27,797,4000009133412323=270320140344713,VISA,400000,2025-11-09
CARD000019,30569393618325,305693****8325,John Johnson,03/29,249,30569393618325=290320194717464,DINERS,305693,2025-03-12
CARD000020,6011117719065944,601111******5944,Joseph Nakamura,02/27,990,6011117719065944=270220149027874,DISCOVER,601111,2026-02-02
CARD000021,3530116717565516,353011******5516,Fatima Singh,06/28,746,3530116717565516=280620180715451,JCB,353011,2024-06-06
CARD000022,378282808760381,378282*****0381,Emma Okafor,10/29,7034,378282808760381=291020182477109,AMEX,378282,2024-05-10
CARD000023,5555552480861317,555555******1317,Elizabeth Thomas,02/30,484,5555552480861317=300220167737826,MASTERCARD,555555,2026-01-23
CARD000024,3530118214658406,353011******8406,Karen Santos,12/29,997,3530118214658406=291220127875588,JCB,353011,2025-07-16
CARD000025,371449533963609,371449*****3609,Noah Singh,12/29,6627,371449533963609=291220102895171,AMEX,371449,2025-02-14
CARD000026,371449026217455,371449*****7455,Jennifer Muller,11/30,5865,371449026217455=301120178091343,AMEX,371449,2024-07-03
CARD000027,4242426117240058,424242******0058,Wei Lopez,05/27,623,4242426117240058=270520186922219,VISA,424242,2025-07-11
CARD000028,3530113792374740,353011******4740,Charles Nakamura,08/27,821,3530113792374740=270820175946474,JCB,353011,2026-01-15
CARD000029,378282713695946,378282*****5946,Arjun Rodriguez,01/29,0909,378282713695946=290120174395339,AMEX,378282,2025-11-23
CARD000030,30569321047092,305693****7092,William Williams,12/29,456,30569321047092=291220123285884,DINERS,305693,2024-04-08
CARD000031,4111114745171238,411111******1238,Yuki Williams,09/30,604,4111114745171238=300920181754965,VISA,411111,2026-04-18
CARD000032,30569337098592,305693****8592,John Okafor,11/28,746,30569337098592=281120112004711,DINERS,305693,2025-12-09
CARD000033,6011112675869264,601111******9264,Sakura Wilson,08/27,405,6011112675869264=270820137735158,DISCOVER,601111,2024-10-15
CARD000034,2223000643171397,222300******1397,Amara Davis,01/27,293,2223000643171397=270120118393352,MASTERCARD,222300,2024-05-21
CARD000035,3530110422842104,353011******2104,Wei Rossi,01/28,395,3530110422842104=280120102402681,JCB,353011,2024-07-04
CARD000036,4242427758917830,424242******7830,Sofia Martinez,12/27,700,4242427758917830=271220176617711,VISA,424242,2025-09-11
CARD000037,3530112124998564,353011******8564,Lucas Martin,08/29,611,3530112124998564=290820183673657,JCB,353011,2025-06-24
CARD000038,378282156545277,378282*****5277,Jennifer Williams,02/27,6152,378282156545277=270220180988516,AMEX,378282,2025-08-09
CARD000039,30569360494510,305693****4510,Noah Davis,03/28,158,30569360494510=280320151493689,DINERS,305693,2024-11-16
CARD000040,30569380940245,305693****0245,Wei Smith,06/29,229,30569380940245=290620161201836,DINERS,305693,2025-06-03
CARD000041,371449525459913,371449*****9913,David Dubois,03/27,9014,371449525459913=270320176797643,AMEX,371449,2024-06-24
CARD000042,6011111561497842,601111******7842,Arjun Martin,04/27,003,6011111561497842=270420143244510,DISCOVER,601111,2025-03-15
CARD000043,378282226838850,378282*****8850,Robert Wilson,07/27,0715,378282226838850=270720196966416,AMEX,378282,2026-07-16
CARD000044,2223002975161368,222300******1368,Jennifer Gonzalez,09/30,453,2223002975161368=300920152181883,MASTERCARD,222300,2024-06-03
CARD000045,2223005231243292,222300******3292,John Garcia,11/28,779,2223005231243292=281120197995527,MASTERCARD,222300,2026-05-29
CARD000046,371449744905811,371449*****5811,Liam Johnson,08/29,0541,371449744905811=290820119986798,AMEX,371449,2024-05-18
CARD000047,4000007935978202,400000******8202,Amara Singh,02/30,182,4000007935978202=300220103778892,VISA,400000,2025-07-30
CARD000048,2223004665905153,222300******5153,Priya Martinez,09/27,492,2223004665905153=270920151925462,MASTERCARD,222300,2024-12-05
